src_orig,tgt
le-qé KÙ.BABBAR ú-la al-qé i-na KÙ.BABBAR a-nim al-qé 12,"I did not take the silver then, (so) I have taken it out of this silver."
ma-na 5 GÍN AN.NA-ak qá-tim 15 GÍN.TA 0.66666 ma-na 8.33333 GÍN KÙ.BABBAR-pí-šu,12 minas 5 shekels of tin for expenses at the rate 15 to 1 - in silver: 2/3 mina 8 1/3 shekels of silver.
mì-ma a-nim a-šùr-ta-ak-la-ku i-ra-dì-a-kum,Aššur-taklāku brings all this to you.
gám-ra-kum,(Your money) has been spent for you.
KIŠIB e-na-nim DUMU ki-zi KIŠIB a-ta-a-a DUMU bu-zi-a KIŠIB a-zu-wa KIŠIB a-ta-aḫ-šu 16.5 GÍN KÙ.BABBAR li-tí SIG₅ i-ṣé-er a-bu-ša-lim DUMU ás-qú-dim ša-ra-bu-nu-wa i-šu,Abu-šalim s. Asqudim owes Šarra-bunua 16 1/2 shekels fine quality silver.
ITU.KAM ḫu-bu-ur li-mu-um da-dí-a a-na ITU.5.KAM i-ša-qal,Month: ḫu-bu-ur
šu-ma lá iš-qú-ul 1.5 GÍN.TA KÙ.BABBAR i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb,"If he does not pay, 1 1/2 shekels silver per month interest he will add"
{TÚG}ú-tu-up-lu bi-ra-qí,Utuplum textiles (belonging to) Biraqi.
um-ma a-šùr-na-da ù ì-lí-a-lúm-ma a-na a-šùr-ta-ak-lá-ku qí-bi-ma 18,From Aššur-nādā and Ilī-ālum to Aššur-taklāku:
{TÚG}ku-ta-nu 15 TÚG ša a-ki-dí-e 1 ANŠE ṣa-lá-mu-um 9.33333 ma-na 9 GÍN AN.NA ša ik-ri-bi₄-ni 34.66666 ma-na AN.NA ša ik-ri-bi₄ ša a-ḫa-a tù-bi₄-il₅ ŠÀ.BA 7 GÚ URUDU ù 1 ANŠE tù-šé-bi₄-lam 17 GÍN KÙ.BABBAR a-na ik-ri-bi₄ a-dí ší-tí lu-qú-tim a-ki-a-ma i-na pá-ni-ú-tim-ma šé-bi₄-lam gám-ra-am ù ta-ší-a-tim a-ḫa-am a-na a-ḫi-im lá ta-kà-ba-as 49 TÚG šu-ru-tum 53 ma-na 1 GÍN AN.NA 1 ma-na KÙ.BABBAR ší-im 1 ANŠE ša a-bi₄-ni al-qé-ma i-na ší-im ANŠE.ḪI.A ša ša-lim-be-li ir-de₈-a-ku-ni ba-lu-ṭá-ku 10 GÍN KÙ.BABBAR ta-na-pá-lam₅ 3 ANŠE ṣa-lá-mu ša i-na šé-pì-kà ta-ar-de₈-ú 1 GÚ AN.NA ku-nu-ku ša a-na a-lá-ḫi-im lá-áp-tù 2 TÚG šu-re-en₆ ša a ni-kà-sí té-zi-ba-ni lá a-tí-dí-i i-na i-a-ú-tim li-qé mì-ma a-nim ša a-bi₄-ni 1 {TÚG}ku-ta-num ša um-mì-a-ni na-áš-a-tí ší-im 3 ANŠE.ḪI.A DINGIR-na-da iš-qú-ul-ma a-na a-bi₄-ni na-áš-a-ku 9 {TÚG}ku-ta-nu ša ì-lí-a-lim ŠÀ.BA 1 TÚG ša i-dí-IŠTAR a-na ì-lí-a-lim i-za-az 15 TÚG šu-ru-tum 12 ma-na 8 GÍN AN.NA 8 TÚG ša a-ki-dí-e 1 ANŠE ṣa-lá-mu-um ša ì-lí-a-lim 7 {TÚG}tí-sà-pu 3 maš-ku ša-pì-ú-tum SIG₅ 10 GÍN KÙ.BABBAR ša ta-lá-pá-lá-ni i-a-ú-tum mi-ma a-nu-um na-áš-a-tí a-pu-tum URUDU-šu 1 GÍN.TA ù 2 GÍN.TA ku-bu-us-ma KÙ.BABBAR 10 ma-na.TA na-ší-ra-am ù a-ta qá-qá-ad-kà šu-ul-ḫa-am sí-kà-tum a-na šu-mì lá sà-ḫa-ri-kà AN.NA ú-lá uš-té-bi₄-lá-kum,"You brought 18 kutānu-textiles, 15 Akkadian textiles, 1 black donkey, 9 1/3 minas 9 shekels of tin from our votive offerings, (and) 34 2/3 minas of tin from the votive offerings of Ahaya."
4 na-ru-uq še-um i-ṣé-er ku-ú-ut-ku-ta ù ta-mu-ri-a a-mur-IŠTAR i-šu iš-tù ḫa-muš-tim ša e-la-ma ù kur-ub-IŠTAR a-na e-ra-áb ad-ri-im i-ma-du-du šu-ma la im-du-du ki-ma a-wa-at kà-ri-im 1 ma-na-um 0.5 ma-na ṣí-ib-tám ú-ṣú-bu IGI šu-pí-wa IGI ḫu-ma-da-a-šu,ku-ú-ut-ku-ta and Tammuriya owe Amur-Ištar 4 bags barley.
a-na pu-šu-ke-en₆ qí-bi-ma um-ma i-ku-pí-a-ma 50 GÚ URUDU ší-kam,To Pūšu-kēn from Ikūn-pīya:
a-kà-ša-da-ku-um,I will bring 50 talents of šikkum copper to you.
ki xxxxx,...
um-ma a-na-ku-ma ANŠE.ḪI.A i-lá-tim ú-nu-sú-nu ù e-ri-qá-tim ṭur₄-da-am,"I said, ""Dispatch the donkeys of the caravan, their gear and the wagons."""
x-x-tí 3 ma-na URUDU ma-as-am,...
ù e-wa-ṣa-tim i-dí={d}UTU ša a-ni-nim ub-lá-kum,Idī-Šamaš of(?)(something is missing here) Anninum brings to you 3 minas washed copper and ewazātum.
12 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er en-nam-a-šur DUMU ša-lim-a-ḫu-um ù šu-a-nim DUMU ba-zi-a a-šur-SIPA i-šu 6,Ennam-Aššur s. Šalim-aḫum and Šū-Anum s. Bazia owe Aššur-rēʾī 12 minas refined silver.
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er x-x-x-a a-šur-SIPA i-šu 5,...-a owes Aššur-rēʾī 6 minas refined silver.
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-… a-šur-SIPA i-šu,A-... owes Aššur-rēʾī 5 minas refined silver.
ŠU.NÍGIN 23 ma-na KÙ.BABBAR ṣa-ru-pu-um iš-tù ḫa-muš-tim a-na 3 ša-na-at ù 3 ITU.KAM i-ša-qú-lu,Altogether they will pay 23 minas refined silver 3 years and 3 months after the ḫamuštum [omitted].
li-mu-um šu-IŠTAR DUMU i-ku-nim,Eponymate: Šū-Ištar s. Ikūnum.
šu-ma i-na u₄-mì-šu-nu ma-al-ú-tim lá iš-qú-lu 1 ma-na-um 15 GÍN-at ṣí-ib-tám ú-ṣú-bu,"If they do not pay at the fulfimment of their terms, they will add 15 shekels per mina (per year?) as interest."
ṭup-pu-e ḫa-ru-mu-tim É a-gi₅-a i-ba-ší-ú šé-bu-… ni x … ù a-x …,The sealed tablets are in the house of Agiya.
a-na pu-šu-ke-en₆ qí-bi-ma um-ma a-ḫu-wa-qar-ma,To Pūšu-kēn from Aḫu-waqar:
i-na ša-ni-im u₄-mì-im ša šu-be-lúm DUMU šál-ma-a-šùr ú-ṣa-ni ANŠE-ri-a sá-ar-du-tim en-na-a-šur iš-tù ma-ṣa-ra-tim ú-ta-e-ra-am,"On the day after Šū-Bēlim son of Šalim-Aššur left, Ennam-Aššur brought my loaded donkeys (back?) from the watchpost. "
um-ma šu-ut-ma KÙ.BABBAR ší-im lu-qú-tim ša áp-qí-da-ku-ni dí-nam-ma ù pu-šu-ke-en₆ li-li-kam-ma iš-tí-a le-ta-ú,"He said, ""Give me the silver, the price of the goods which I entrusted to you so that Pūšu-kēn comes and negotiates/discusses with me."""
um-ma a-na-ku-ma KÙ.BABBAR a-na kà-ni-iš i-tab-lu a-lik-ma a-ta ù pu-šu-ke-en₆ a-ta-wa-ma šu-ma KÙ.BABBAR a-na ša pu-šu-ke-en₆ i-tù-ar šu-ut li-il₅-qé-ma šu-ma a-na ku-a-im i-tù-ar a-ta li-qé-šu,"I said, ""The silver which he brought to Kaneš came and you and Pūšu-kēn discuss and if the silver returns to the property of Pūšu-kēn, let him take it, and if it returns to your property, you (will) take it."" "
um-ma šu-ut-ma pu-šu-ke-en₆ li-li-kam-ma iš-tí-a le-ta-ú,"He said, ""Let Pūšu-kēn come and let him discuss with me."""
a-wi-lúm sí-ki ú-kà-al,The man holds my fringe.
ù a-na ša qá-ta-tim i-ta-na-dí-na-ni,And he is repeatedly giving me to the guarantors.
a-bi a-ta be-lí a-ta ki-ma ṭup-pì ta-áš-me-ú ṭup-pá-am da-nam ša kà-ri-im li-qé-a-ma lá-at-be-a-ma lá-tal-kam,"My dear father and lord, when you read my tablet, take a strong tablet from the colony office so that I may get up and come."
i-na ḫa-ra-ni-a lá kà-ṣú-da-ku,I must not be detained in my journey!
… 1.5 ma-na KÙ.BABBAR iš-tù ḫa-mu-uš-tim ša … ù a-mur-IŠTAR a-na x ḫa-am-ša-tim i-ša-qú-lu,From the ḫamuštum of PN and Amur-Ištar he has x weeks to pay.
šu-ma lá iš-qú-lu 1.5 GÍN.TA ṣí-ib-tám a-na 1 ma-na-im ú-ṣú-bu,If he does not pay 1 1/5 shekels interest will be added per mina.
2.33333 ma-na 3.6666600000000003 GÍN KÙ.BABBAR a-šùr-ma-lik i-na-pá-al,Aššur-mālik repaid 2 minas 23 2/3 shekels.
ITU.1.KAM ḫu-bu-ur,(Month) Ḫubur.
li-mu-um a-šùr-na-da,Eponymate: Aššur-nādā.
iš-tù ḫa-mu-uš-tim ša bu-zu-ta-a ù a-šùr-i-mì-tí,From the ḫamuštum-week of Buzutaya and Aššur-imittī.
15 ma-na KÙ.BABBAR ṣa-ru-pu-um KI a-bu-um-DINGIR DUMU a-ba ù ša-lim-a-šur a-ḫi-šu,Abum-ilī s. Aba and Šalim-Aššur owe 15 minas refined silver.
iš-tù ḫa-muš-tim ša DUMU ba-na-ga ù a-gu-za a-na 40 ḫa-am-ša-tim i-ša-qú-lu 15.5,They will pay forty weeks from the ḫamuštum of the son of Banaga and Akuzāya.
ma-na 3.16666 GÍN KÙ.BABBAR ṣa-ru-pu-um KI a-šur-i-mì-tí DUMU a-ta-a,Aššur-imittī s. Attaya owes 15 1/2 minas 3 1/6 shekels refined silver.
iš-tù ḫa-muš-tim ša e-lá-lí ù lá-qé-ep a-na 45 i-ša-qal 15.5,He will pay forty five (weeks) from the ḫamuštum of Elāli and Lāqēp.
ma-na 2.33333 GÍN KÙ.BABBAR ṣa-ru-pu-um KI ili₅-ba-ni DUMU PUZUR₄.IŠTAR,Ilī-bāni s. Puzur-Ištar owes 15 1/2 minas 2 1/3 shekels refined silver.
iš-tù ḫa-muš-tim ša e-lá-lí ù la-qé-ep a-na 45 i-ša-qal 15.5,He will pay forty five (weeks) from the ḫamuštum of Elāli and Lāqēp.
ma-na KÙ.BABBAR ṣa-ru-pu-um KI na-bi-sú-en₆ DUMU PUZUR₄.IŠTAR,Nāb-Suen s. Puzur-Ištar owes 15 1/2 minas refined silver.
iš-tù ḫa-muš-tim ša am-ri-a ù i-ku-nim a-na 45 i-ša-qal 15.5,He will pay forty five weeks from the ḫamuštum of Amria and Ikūnim.
ma-na 1.66666 GÍN KÙ.BABBAR ṣa-ru-pu-um KI a-šur-na-da,Aššur-nādā owes 15 1/2 minas 1 2/3 shekels refined silver.
iš-tù ḫa-muš-tim ša du-du ù li-ba-a-a a-na 45 i-ša-qal 7.5,He will pay forty five (weeks) from the ḫamuštum of Dudu and li-ba-a-a.
ma-na KÙ.BABBAR ṣa-ru-pu-um KI a-lá-bi-im,Al-abim owes 7 1/2 minas refined silver.
iš-tù ḫa-muš-tim ša a-lá-ḫi-im ù kur-ub-IŠTAR a-na 40 i-ša-qal 15,He will pay forty (weeks) from the ḫamuštum Al-aḫim and Kurub-Ištar.
ma-na 6.66666 GÍN KÙ.BABBAR ṣa-ru-pu-um KI a-lá-bi₄-im DUMU šu-tí-bar,Al-abim s. Šū-Tibar owes 15 minas 6 2/3 shekels refined silver.
iš-tù ḫa-muš-tim ša ḫa-bi₄-a-aḫ-šu ù lá-qé-ep a-na 38 i-ša-qal 10,He will pay thirty eight (weeks) from the ḫamuštum of ḫa-bi₄-a-aḫ-šu and Lāqēp.
ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pu-um KI i-ku-nim ša ta-wi-ni-a,Ikūnim of ta-wi-ni-a owes 10 minas 5 shekels refined silver.
iš-tù ḫa-muš-tim ša {d}MAR.TU-ba-ni ù i-ku-nim a-na 15 i-ša-qal 4,He will pay fifteen (weeks) from the ḫamuštum of Amurrum-bāni and Ikūnim.
ma-na KÙ.BABBAR ṣa-ru-pá-am KI zu-ba ù a-šur-DU₁₀,Zupa and Aššur-ṭāb owe 4 minas refined silver.
iš-tù ḫa-muš-tim ša e-lá-ma ù šu-ku-bi-im a-na 6 i-ša-qú-lu 5,They will pay 6 (weeks) from the ḫamuštum of Elamma and Šū-Kūbim.
ma-na KÙ.BABBAR ṣa-ru-pá-am KI a-sú,Ašu owes 5 minas refined silver.
iš-tù ḫa-muš-tim ša kà-ší-im a-na 13 i-ša-qal 10.33333,He will pay thirteen (weeks) from the ḫamuštum of kaššim.
ma-na KÙ.BABBAR ṣa-ru-pu-um KI ì-lí-ìš-tí-kál,Iliš-īkal owes 10 1/3 minas refined silver.
iš-tù ḫa-muš-tim ša DUMU ba-na-ga ù a-gu-za a-na 45 i-ša-qal 5,He will pay forty five (weeks) from the ḫamuštum of the son of Banaga and Akuzāya.
ma-na KÙ.BABBAR ṣa-ru-pu-um KI zu-zu,Zuzu owes 5 minas refined silver.
iš-tù ḫa-muš-tim ša sú-kà-lí-a ù ku-ra a-na 10 i-ša-qal mì-ma a-nim u₄-mu-šu-nu ma-al-ú ša KÙ.BABBAR lá i-ša-qá-lá-ku-nu-tí-ni ší-be šu-uk-na-ma a ṣí-ib-tim li-li-ik,He will pay ten (weeks) from the ḫamuštum of Sukkallīya and Kura.
um-ma a-šùr-i-dí-ma a-na a-šur-na-da qí-bi-ma,From Aššur-idī to Aššur- nādā:
iš-tù MU.4.ŠÈ ṭù-ṣí lu-qú-tí a-dí-ni-ma-a la i-tur₄ ṣí-ba-at lu-qú-tí-a ì-lí-a-lúm ù-ša-bi-kà a-na mì-nim ḫa-ra-nu-um ma-la ù šé-ni-šu i-li-kà-ma KÙ.BABBAR la tù-šé-bi-lam la li-bi DINGIR-ma a-ḫu-kà KÙ.BABBAR-pì 30 ma-na ù-ḪU-ta-li-iq ki-ma-a li-bi-im ta-dá-nim a-ta KÙ.BABBAR tù-kà-al ma-a li-qé-ma KÙ.BABBAR 30 ma-na šé-bi₄-lá-ma um-ma a-ta-ma ú-ta-ni-ìš 2 GÍN ṣa-aḫ-ra-tí ší-tí KÙ.BABBAR-pì-a a-ki-a-ma i-na pá-ni-ù-tí-ma šé-bi-lam-ma ší-ma-am la-áš-a-ma lu-šé-bi-lá-ku-ma li-pí-ta-am KÙ.BABBAR 1 GÍN le-li-a-ma i-bi-sà-i-a lu-ra-ib šu-ma a-ḫi a-ta i-ḫi-id KÙ.BABBAR šé-bi-lam KÙ.BABBAR ma tù-šé-bi-la-nim-ma um-ma a-tù-nu-ma la i-ba-re a-šu-mì té-er-tí-ku-nu AN.NA ba-at-qám áš-a-ma ù a-ma-kam ip-ṭí-ri ù-ma-am AN.NA 16 GÍN.TA ù e-li-iš i-ba-ší i-ša qí-ip-tí-kà KÙ.BABBAR 30 ma-na šé-bi-lam-ma ší-ma-am la-áš-a-ma-kum ší-a-ma-tum i-ba-ší a ni-kà-sí-a šu-ḪU-ta mì-šu ša a-na lu-qú-tim ta-ù-ri-im ta-áš-pu-ra-ni a-a-nu-um KÙ.BABBAR e-ta-li-am 16 ma-na KÙ.BABBAR a-pu-ḪU ì-lí-a-lim a É a-lim{ki} áš-qúl ú PUZUR₄-a-na a-na e-pá-ší-šu ú ša-a-mì-šu 15 ma-na ag-mu-ur,"You left four years ago, but so far, have my goods left?"
en-na-sú-en₆ DUMU i-ku-a ù PUZUR₄.IŠTAR DUMU a-lá-bi-im i-na ša-ḫa-at DAM i-ku-pí-a me-er-a-at i-ku-pí-a ù me-er-e i-ku-pí-a ki-ma šu-nu-tí i-zi-zu-ma 40,"Ennasu’in, der Sohn des Ikū’am und Puzurištar, der Sohn des Alâbum, sind für die Frau des Ikuppi’a, die Töchter des Ikuppī’a und die Söhne des Ikuppī’a an deren Stelle eingetreten,"
ma-na KÙ.BABBAR ḫu-bu-ul i-ku-pí-a a-na a-šur-mu-ta-bi-il₅ DUMU pu-šu-ke-en₆ ù bé-lá-nim ra-bi₄-ṣí-im ša pu-šu-ke-en₆ iš-qú-lu,"und haben 40 Minen Silber, die Shculd des Ikuppī’a, dem Aššurmuttabbil, dem Sohne des Pūšukēn, und dem Bēlānum, dem Kommissär des Pūšukēn, bezahlt."
a-na a-wa-tim a-ni-a-tim kà-ru-um tur₄-ḫu-mì-it i-dí-in-ni-a-tí-ma,Für diese Angelegenheiten hat der Kārum Turḫumit uns (als Richter) bestellt. 
IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,Vor dem Dolche des Aššur haben wir unsere Beurkundung gegeben. 
IGI lá-ba-na-da DUMU i-dí-sú-en₆ IGI i-ku-pí-a-šur DUMU pí-lá-aḫ-a-šur,"Vor Labannādā, dem Sohne des Idīsu’in; vor Ikuppī’aššur, dem Sohne des Pilaẖaššur."
i-dí-da-gán DUMU sà-ar-ni-ki-im ù ša-lim-a-ḫu-um DUMU DU₁₀-ì-lí tap-pá-ú-ni,"Idīdagān, der Sohn des Sarnikum, und Šalimaḫum, der Sohn des Ṭābilī, (waren) unsere Beisitzer. "
um-ma im-dí-lúm-ma a-na PUZUR₄-a-šur qí-bi₄-ma 20 ma-na.TA e-mu-du a-šu-mì ar-ni-kà uš-kà-i-ma uš-kà-in a-ru-tum ša-ak-na-at-ma pá-ṭá-ra-am la i-mu-ú x x-e-kà ú-ša-dí-nu KÙ.BABBAR áš-ta-qal a-na 10 u₄-me e-lu-tum e-ra-ba-am a-ma-kam ú-za-kà lu pá-tí-at i-ḫi-id-ma KÙ.BABBAR AN.NA-ak qá-tim ša-ak-ší-dam,Keep your ears open.
a-na pu-šu-ke-en₆ qí-bi-ma um-ma a-šur-ma-lik-ma i-a-šar ù {d}IŠKUR-ṣú-lu-li-ma,"To Pūšu-kēn from Aššur-mālik, Ea-šār, and Adad-ṣulūlī:"
URUDU ša PUZUR₄-a-šur i li-bi i-a-šar i-šu-ú URUDU ta-áš-bi-ta-am i-dí-ni-a-tí,"The copper which Ea-šar owes Puzur-Aššur, he (Ea-šar) has given us the full payment of copper."
ki-ma URUDU-i-ú i-na bu-ru-uš-ḫa-dum ma-aḫ-ṣú-ni i-ri-qám lá ni-gu₅-ur-ma a-na bu-ru-uš-ḫa-dum lá nu-šé-ri-ib,"Because the (supply of) copper is cut off in Purušḫattum, we were unable to rent a wagon and we were unable to take (the copper) to Purušḫattum."
e-ma-ri-i šé-ri-a-ma URUDU-ú-šu a-na bu-ru-uš-ḫa-dum lu nu-šé-ri-ib,Send donkeys so that we can take the copper to Purušḫattum.
šu-ma ṭup-pu-šu ša PUZUR₄-a-šur a-ṣé-ri-ni i-li-kam ší-ta-me-a-šu-ma a-ni-ša-am šé-bi₄-lam,"If Puzur-Aššur's tablet comes for us, read it and send it here."
i ša-am-ší ṭup-pì-ni ta-ša-me-ú e-ma-ri šé-ri-am,"On the day you read our tablet, send the donkeys."
iš-tù ni-kà-sí pu-šu-ke-en₆ ù a-na-ku ni-sí-ú-ma 1.66666 ma-na 2 GÍN KÙ.BABBAR i li-bi-a pu-šu-ke-en₆ i-dí-ú-ni ù a-ḫa-ma 23 ma-na x-x KÙ.BABBAR ṣa-ru-pá-am ku-nu-ki-a a-na ma-ṣar-tim a-na pu-šu-ke-en₆ lu e-zi-bu,"After Pūšu-kēn and I called accounts and Pūšu-kēn deposited 1 mina 42 shekels silver to my account, then separately I indeed left 23 minas refined silver under my seal in the strong room for Pūšu-kēn."
šu-ma er-wi-LUGAL e-ta-ar-ba-am 23 ma-na KÙ.BABBAR i-lá-qé,"If Erwi-šarrum entered, he took the 23 minas silver."
šu-ma i-tí-ri-iš 23 ma-na KÙ.BABBAR ṣa-ru-pá-am er-wi-LUGAL a-na pu-šu-ke-en₆ i-ša-qal,"If the claim is proven, Erwi-šarrum will pay Pūšu-kēn 23 minas refined silver."
15 GÍN KÙ.BABBAR i-ṣé-er a-gu₅-tim i-dí-iš₈-tár i-šu,Akūtum owes Idī-Ištar 15 shekels silver.
iš-tù ḫa-mu-uš-tim ša a-bu-um-DINGIR a-na ša ni-ba-as i-ša-qal,From the ḫamuštum of Abum-ilī he has ni-ba-as to pay.
šu-ma lá iš-qú-ul 10 GÍN-tum 1 GÍN.TA i-na ITU i-ša-qal,If he does not pay 10 shekels per shekel a month.
IGI ma-lá-ba IGI en-na-sú IGI tù-ra-am-ì-lí,"Witnesses: Malaba, Enna-Suen, Tūram-ilī"
a-na pu-šu-ke-en₆ qí-bi-ma um-ma kur-ub-IŠTAR-ma a-šu-mì ša-lim-a-šur DUMU i-sú-ri-ik ša a-na-kam a-ta-wa-ku-ni,To Pūšu-kēn from Kurub-Ištar:
im-gu₅-a i-li-kam-ma mì-ma-ša-ma lá ta-áš-ta-áp-ra-am 10 ma-na,"Concerning Šalim-Aššur son of Issu-rīk about whom I spoke to you here, Imgua arrived and you did not send anything whatsoever."
AN.NA a-mur-a-šur DUMU sú-kà-lí-a ú-šé-bi₄-lá-kum 6,Amur-Ištar son of Sukkallīya brought you 10 minas tin.
ku-ta-ni a-ku-ku-um kà-ṣa-ar qá-ar-wi-a ma-ḫa-tí tù-šé-bi₄-il₅-šu x a-bi a-ta be-lí a-ta,"My aunt(?) brought Akkukum, the packer of Qarwīya, 6 kutānum textiles."
a-lá-nu-kà a-ba-am ša-ni-am i-šu,"My dear father and lord, do I have another father beside you?"
a-ma-kam ša-lim-a-šùr ù wa-bi₄-lá-ni ša-il₅-ma i-dí-nu-šum lá i-dí-nu-šum šu-up-ra-ma a-na a-lá-ki-šu-nu pá-i lá áp-ta-na-té,"There, inquire of Šalim-Aššur and Wābilanni and send to me as to whether or not they sold it to him, so that at their departure I do not keep opening my mouth."
a-šu-mì ša a-ta-ta uz-ni mì-šu-um lá ta-pá-té,"Concerning the matter of Atata, why do you not inform me?"
0.5 ma-na KÙ.BABBAR i-ṣé-er šu-sú-en₆ DUMU a-wa-ar-na-ḫu-uš i-ku-nu-um i-šu,Šū-Suen s. Awarnaḫuš owes 1/2 mina silver to Ikūnum
iš-tù ḫa-mu-uš-tim ša a-né-nim ù la-li-im a-na 6 ḫa-am-ša-tim i-ša-qal,From the ḫamuštum of A-né-nim and Lālim he has 6 weeks to pay.
šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-ab,If he does not pay the word of the colony will be added in interest.
IGI ì-lí-áš-ra-ni DUMU a-šur-DU₁₀,Witness: Ili-ašranni s. Aššur-ṭāb
um-ma qur-ub-IŠTAR-ma a-na a-šùr-na-da qí-bi-ma,From Kurub-Ištar to Aššur-nādā:
a-na-kam-ma a-šu-mì TÚG.ḪI.A ša is-me-tí-DINGIR ú-na-ḫi-id-kà,It was here that I gave you instructions about Iṣmid-ilum's textiles.
a-na pá-ni-kà šu-pu-ur-ma DUG-ṣí-la-a-šur a-na pá-ni-kà le-tí-qám-ma TÚG.ḪI.A ša is-me-tí-DINGIR šu-lu-uṭ-ma dí-šu-um,"Write before you (leave) so Ṭāb-ṣill-Aššur may travel on to you, and then give him Iṣmid-ilum's textiles on your own authority."
a-na 2 ma-na KÙ.BABBAR ša tù-šé-bi-lá-ni ki-ma ší-mu-um ša a-ki-dí-e lá-ap-tù-ni lá ú-šé-bi-lá-kum,"As for the 2 minas of silver that you sent me, since the trade in Akkadian textiles is affected, I have not sent you any."
šu-ma a-dí 10 u₄-me-e ší-mu-um ša a-ki-dí-e lá i-ta-áš-ra-am AN.NA a-ša-a-ma ú-šé-ba-lá-kum 10.66666,"If within 10 days the trade in Akkadian textiles does not return to normal, I shall buy you tin and send it to you. "
GÍN KÙ.BABBAR PUZUR₄-sú-en₆ DUMU i-kà-lá lí-dí-na-kum,Puzur-Suen son of Ikaya should give you 10 2/3 shekels of silver. 
ù ṭup-pá-am ša ša-li-ṭim i-na É PUZUR₄-sú-en₆ a-mu-ur-ma KÙ.BABBAR ù ṣí-ba-sú ša-áš-qí-el,"Then check the tablet of Katātum son of Nanaya in Puzur-Suen's house, and have the silver and its interest paid."
um-ma wa-ak-lúm-ma a-na en-na-sú-en₆ ú-ṣú-ur-ša-IŠTAR ù a-du-da qí-bi₄-ma 6 GÚ ù it-ra-sú AN.NA 12 TÚG ša li-wi-tim 3 ANŠE ṣa-lá-me en-um-a-šur i-ra-de₈-a-ku-nu-tí me-er-ú-i-a a-tù-nu a-ma-kam ki-ma a ra-ma-na-tí-ku-nu tù-u-ta-ma-ra-ṣa-ni AN.NA-ki dí-na a-du-da lá tù-qá-a-a AN.NA 0.5 GÍN zi-tí-šu ki-ma i-za-zu et-qá-ma dí-na KÙ.BABBAR a-du-da li-ik-šu-da-am IGI a-šur ú i-li-a a-kà-ra-ba-ku-nu-tí 1 me-at 50 {TÚG}ku-ta-ni a-na kà-ri-im tù-ur-ḫu-mì-it en-um-a-šur na-ší a-ma-kam la i-sá-ḫu-ur ṭù-ur-da-šu,"From the waklum to Enna-Suen, Uṣur-ša-Ištar, and Aduda:"
KIŠIB a-šur-ma-lik KIŠIB i-ku-pì-a-šur KIŠIB a-mur-a-šur 1,"Seals: Aššur-mālik, Ikūppī-Aššur, Amur-Aššur."
ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-mur-a-šur šu-ku-tim i-šu,Amur-Aššur owes Šukkutum 1 mina refined silver.
iš-tù ḫa-mu-uš-tim ša ú-ra-a ú kur-ub-IŠTAR 1.5 GÍN.TA i-na ITU.1.KAM a-na 1 ma-na-im ú-ṣa-ab 10 GÍN KÙ.BABBAR ša zu-zu 0.25 GÍN i-na ITU.1.KAM a-na 10 GÍN-tim ú-ṣa-áb,He will add (interest) at the rate of 1 1/2 shekels per mina per month from the ḫamuštum of Ūraya and Kurub-Ištar.
KIŠIB a-mur={d}UTU KIŠIB a-bu-ša-lim,"Seals: Amur-Šamaš, Abu-šalim."
ša ḫu-bu-ul a-mur-a-šur 2 ma-na 15 GÍN KÙ.BABBAR ṣa-ru-pu-um ša a-šur-SIPA,Regarding Amur-Aššur's debt of 2 minas 15 shekels refined silver owed to Aššur-rēʾī.
iš-tù ḫa-muš-tim ša kur-ub-IŠTAR ù a-la-ḫi-im a-na 7 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA i-na ITU.KAM a-na 1 ma-na-im,He will pay 7 weeks from the ḫamuštum of Kurub-Ištar and Al-aḫim.
ú-ṣa-áb ta-aḫ-sí-is-tum a-ni-tum me-eḫ-ra-at ṭup-pì-im ḫa-ar-mì-im ša ḫu-bu-ul a-mur-a-šur,"If he does not pay (on time), he will add 1 1/2 shekels per mina per month as interest."
1 ma-na 10 GÍN KÙ.BABBAR ṣa-ru-pu-um iš-tí a-al-DU₁₀ DUMU a-šur-na-da iš-tù ḫa-mu-uš-tim ša e-lá-lí ù {d}UTU-ba-ni a-na 20 ḫa-am-ša-tim,Al-ṭāb s. Aššur-nādā owes 1 mina 10 shekels refined silver.
i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám,He will pay 20 ḫamuštum weeks after the ḫamuštum of Elāli and Šamaš-bāni.
ú-ṣa-áb,"If he does not pay (on time), he will add interest according to the rate of the colony."
ITU.1.KAM be-el-tí-É.GAL-lim,Month: Bēlet ekallim.
