id,transliteration,translation
395,um-ma a-ha-tí-kà-ma a-na a-hu-a qí-bi-ma,Thus says your sister: Speak to my brother:
396,um-ma kà-ru-um É.GAL-lim-ma a-na a-bi-a qí-bi-ma,Thus says the palace colony: Speak to my father:
397,a-na wa-ar-di-ni qí-bi-ma um-ma a-ha-tí-kà-ma,Speak to our slave: thus says your sister.
398,šu-ma ru-ba-im ŠE lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If the king does not send the grain to me, I will write to the City."
399,1 ma-na ṭup-pám a-na ru-ba-im di-in-ma šé-bi-lam,Give 1 mina of the tablet to the king and send it to me.
400,2 bi-lá-tim AN.NA a-na a-bi-a di-in-ma šé-bi-lam,Give 2 talents of tin to my father and send it to me.
401,a-šu-um TÚG.HI.A ša a-hu-a a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that my brother sent to Hahhum, I have heard about it here."
402,ṭup-pám ša ma-ṣa-ru a-mur-ma AN.NA šé-bi-lam,Examine the tablet of the guards and send the tin.
403,iš-tù a-lim(ki) a-na É DAM.GÀR a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the City to the merchant's house and claim the textiles.
404,1 ma-na KÙ.GI i-na É DAM.GÀR a-na da-a-a-nu-um áš-qúl,I paid 1 mina of gold to the judge in the merchant's house.
405,um-ma <gap>-ma a-na A-šur-na-da ú DAM.GÀR qí-bi-ma,Thus says <gap>: Speak to Ashur-nada and the merchant:
406,um-ma ru-ba-im-ma a-na um-mì-a ú Pú-zur4-A-šur qí-bi-ma,Thus says the king: Speak to my mother and Puzur-Ashur:
407,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma a-ha-tí-kà ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and your sister will take the deduction-taxes."
408,šu-ma Pú-zur4-A-šur TÚG.HI.A lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If Puzur-Ashur does not send the textiles to me, I will write to the merchant's house."
409,1/3 ma-na ṭup-pám i-na É DAM.GÀR a-na ma-ṣa-ru áš-qúl,I paid one-third of a mina of the tablet to the guards in the merchant's house.
410,a-šu-um AN.NA ša a-hu-a a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that my brother sent to the merchant's house, I have heard about it here."
411,um-ma a-wi-lim-ma a-na da-a-a-nu-um qí-bi-ma,Thus says the boss: Speak to the judge:
412,um-ma kà-ru-um É.GAL-lim-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says the palace colony: Speak to our messenger:
413,5 GÍN AN.NA i-na ha-hi-im a-na wa-ar-di-ni áš-qúl,I paid 5 shekels of tin to our slave in Hahhum.
414,ki-ma ši-ip-ri-ni me-tù-ni a-bi-a KÙ.BABBAR i-ki-mu-ni,"When our messenger died, my father deprived me of the silver."
415,ṭup-pám ša ma-ṣa-ru a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of the guards and send the sealed document.
416,a-na um-mì-a qí-bi-ma um-ma a-ha-tí-kà-ma,Speak to my mother: thus says your sister.
417,um-ma kà-ru-um kà-ni-iš-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says the Kanesh colony: Speak to Puzur-Ashur:
418,a-na a-hu-a šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that my brother, he will embezzle the grain."
419,um-ma DAM.GÀR-ma a-na Pú-zur4-A-šur ú a-wi-lim qí-bi-ma,Thus says the merchant: Speak to Puzur-Ashur and the boss:
420,ṭup-pám ša DAM.GÀR a-mur-ma AN.NA šé-bi-lam,Examine the tablet of the merchant and send the tin.
421,ki-ma da-a-a-nu-um me-tù-ni a-hu-a TÚG.HI.A i-ki-mu-ni,"When the judge died, my brother deprived me of the textiles."
422,a-šu-um lu-qú-tám ša Pú-zur4-A-šur a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that Puzur-Ashur sent to the palace, I have heard about it here."
423,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma um-mì-a ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and my mother will take the deduction-taxes."
424,šu-ma a-bi-a AN.NA lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If my father does not send the tin to me, I will write to Kanesh."
425,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma um-mì-a ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and my mother will take the deduction-taxes."
426,A-šur-na-da me-et ú ni-kà-sú-šu sà-ah-ú,"Ashur-nada is dead, and his accounts are in a mess."
427,<gap> URUDU dam-qám a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give <gap> of fine copper to the guards and send it to me.
428,ki-ma um-mì-a me-tù-ni ma-ṣa-ru kà-ni-kám i-ki-mu-ni,"When my mother died, the guards deprived me of the sealed document."
429,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and <gap> will take the deduction-taxes."
430,um-ma wa-ar-di-ni-ma a-na A-šur-na-da ú a-ha-tí-kà qí-bi-ma,Thus says our slave: Speak to Ashur-nada and your sister:
431,ki-ma a-hu-a me-tù-ni a-ha-tí-kà AN.NA i-ki-mu-ni,"When my brother died, your sister deprived me of the tin."
432,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and the judge will take the deduction-taxes."
433,iš-tù ha-hi-im a-na wa-ah-šu-ša-na a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Hahhum to Wahshushana and claim the fine copper.
434,um-ma A-šur-na-da-ma a-na a-bi-a ú a-ha-tí-kà qí-bi-ma,Thus says Ashur-nada: Speak to my father and your sister:
435,šu-ma Pú-zur4-A-šur ŠE lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If Puzur-Ashur does not send the grain to me, I will write to the colony."
436,wa-ar-di-ni a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"Our slave was overwhelmed by his debts, and he fled."
437,a-šu-um TÚG.HI.A ša ma-ṣa-ru a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that guards sent to the colony, I have heard about it here."
438,šu-ma ma-ṣa-ru lu-qú-tám lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If the guards does not send the merchandise to me, I will write to Kanesh."
439,ṭup-pám ša um-mì-a a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of my mother and send the sealed document.
440,a-šu-um URUDU dam-qám ša wa-ar-di-ni a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that our slave sent to Wahshushana, I have heard about it here."
441,um-ma <gap>-ma a-na Pú-zur4-A-šur ú a-wi-lim qí-bi-ma,Thus says <gap>: Speak to Puzur-Ashur and the boss:
442,a-šu-um kà-ni-kám ša <gap> a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that guards sent to Wahshushana, I have heard about it here."
443,šu-ma a-hu-a lu-qú-tám lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If my brother does not send the merchandise to me, I will write to Kanesh."
444,ki-ma ru-ba-im me-tù-ni a-hu-a KÙ.BABBAR i-ki-mu-ni,"When the king died, my brother deprived me of the silver."
445,10 ma-na KÙ.BABBAR i-na kà-ni-iš a-na A-šur-na-da áš-qúl,I paid 10 minas of silver to Ashur-nada in Kanesh.
446,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al <gap> i-kà-al,"Do not trust that our slave, he will embezzle <gap>."
447,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma ma-ṣa-ru ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and the guards will take the deduction-taxes."
448,ki-ma a-hu-a me-tù-ni da-a-a-nu-um TÚG.HI.A i-ki-mu-ni,"When my brother died, the judge deprived me of the textiles."
449,um-ma <gap>-ma a-na um-mì-a qí-bi-ma,Thus says <gap>: Speak to my mother:
450,ṭup-pám ša a-ha-tí-kà a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of your sister and send the silver.
451,ṭup-pám ša ru-ba-im a-mur-ma ŠE šé-bi-lam,Examine the tablet of the king and send the grain.
452,ṭup-pám ša wa-ar-di-ni a-mur-ma ŠE šé-bi-lam,Examine the tablet of our slave and send the grain.
453,lu-qú-tum a-na wa-ah-šu-ša-na e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered Wahshushana, and <gap> will take the deduction-taxes."
454,ki-ma ma-ṣa-ru me-tù-ni A-šur-na-da TÚG.HI.A i-ki-mu-ni,"When the guards died, Ashur-nada deprived me of the textiles."
455,1 ma-na lu-qú-tám a-na um-mì-a di-in-ma šé-bi-lam,Give 1 mina of merchandise to my mother and send it to me.
456,a-šu-um KÙ.BABBAR ša ši-ip-ri-ni a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the silver that our messenger sent to the City, I have heard about it here."
457,1/3 ma-na ŠE i-na <gap> a-na ši-ip-ri-ni áš-qúl,I paid one-third of a mina of grain to our messenger in <gap>.
458,um-ma A-šur-na-da-ma a-na da-a-a-nu-um qí-bi-ma,Thus says Ashur-nada: Speak to the judge:
459,a-šu-um TÚG.HI.A ša um-mì-a a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that my mother sent to the colony, I have heard about it here."
460,lu-qú-tum a-na ha-hi-im e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and <gap> will take the deduction-taxes."
461,a-šu-um kà-ni-kám ša ši-ip-ri-ni a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that our messenger sent to the City, I have heard about it here."
462,iš-tù kà-ri-im a-na É DAM.GÀR a-li-ik-ma KÙ.GI ba-qí-ir,Go from the colony to the merchant's house and claim the gold.
463,a-na Pú-zur4-A-šur qí-bi-ma um-ma da-a-a-nu-um-ma,Speak to Puzur-Ashur: thus says the judge.
464,um-ma da-a-a-nu-um-ma a-na a-ha-tí-kà ú ru-ba-im qí-bi-ma,Thus says the judge: Speak to your sister and the king:
465,iš-tù ha-hi-im a-na bu-ru-uš-ha-tum a-li-ik-ma lu-qú-tám ba-qí-ir,Go from Hahhum to Burushhattum and claim the merchandise.
466,šu-ma da-a-a-nu-um lu-qú-tám lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If the judge does not send the merchandise to me, I will write to the merchant's house."
467,1 GÍN <gap> a-na A-šur-na-da di-in-ma šé-bi-lam,Give 1 shekel of <gap> to Ashur-nada and send it to me.
468,lu-qú-tum a-na <gap> e-ru-ub-ma a-bi-a ni-is-ha-tum i-lá-qé,"The merchandise entered <gap>, and my father will take the deduction-taxes."
469,1 me-at URUDU dam-qám i-na É DAM.GÀR a-na Pú-zur4-A-šur áš-qúl,I paid 100 units of fine copper to Puzur-Ashur in the merchant's house.
470,iš-tù É.GAL-lim a-na wa-ah-šu-ša-na a-li-ik-ma <gap> ba-qí-ir,Go from the palace to Wahshushana and claim the <gap>.
471,1 ma-na KÙ.BABBAR i-na É DAM.GÀR a-na wa-ar-di-ni áš-qúl,I paid 1 mina of silver to our slave in the merchant's house.
472,a-šu-um kà-ni-kám ša da-a-a-nu-um a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that judge sent to the City, I have heard about it here."
473,šu-ma ru-ba-im ṭup-pám lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If the king does not send the tablet to me, I will write to Burushhattum."
474,iš-tù ha-hi-im a-na É DAM.GÀR a-li-ik-ma ṭup-pám ba-qí-ir,Go from Hahhum to the merchant's house and claim the tablet.
475,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na wa-ar-di-ni qí-bi-ma,Thus says the Burushhattum colony: Speak to our slave:
476,um-ma kà-ru-um kà-ni-iš-ma a-na <gap> qí-bi-ma,Thus says the Kanesh colony: Speak to <gap>:
477,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma a-wi-lim ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and the boss will take the deduction-taxes."
478,5 GÍN TÚG.HI.A i-na wa-ah-šu-ša-na a-na ru-ba-im áš-qúl,I paid 5 shekels of textiles to the king in Wahshushana.
479,1 GÍN URUDU dam-qám a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 1 shekel of fine copper to our messenger and send it to me.
480,a-na a-bi-a qí-bi-ma um-ma um-mì-a-ma,Speak to my father: thus says my mother.
481,2 bi-lá-tim lu-qú-tám a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 2 talents of merchandise to Puzur-Ashur and send it to me.
482,5 GÍN KÙ.BABBAR i-na kà-ni-iš a-na <gap> áš-qúl,I paid 5 shekels of silver to <gap> in Kanesh.
483,um-ma da-a-a-nu-um-ma a-na ru-ba-im ú Pú-zur4-A-šur qí-bi-ma,Thus says the judge: Speak to the king and Puzur-Ashur:
484,1/3 ma-na KÙ.GI i-na bu-ru-uš-ha-tum a-na Pú-zur4-A-šur áš-qúl,I paid one-third of a mina of gold to Puzur-Ashur in Burushhattum.
485,ki-ma <gap> me-tù-ni ru-ba-im AN.NA i-ki-mu-ni,"When <gap> died, the king deprived me of the tin."
486,a-šu-um KÙ.GI ša um-mì-a a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that my mother sent to the City, I have heard about it here."
487,šu-ma ma-ṣa-ru URUDU dam-qám lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If the guards does not send the fine copper to me, I will write to the colony."
488,a-šu-um KÙ.GI ša ma-ṣa-ru a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that guards sent to the merchant's house, I have heard about it here."
489,ki-ma ru-ba-im me-tù-ni a-wi-lim ṭup-pám i-ki-mu-ni,"When the king died, the boss deprived me of the tablet."
490,lu-qú-tum a-na ha-hi-im e-ru-ub-ma wa-ar-di-ni ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and our slave will take the deduction-taxes."
491,um-ma DAM.GÀR-ma a-na A-šur-na-da qí-bi-ma,Thus says the merchant: Speak to Ashur-nada:
492,um-ma <gap>-ma a-na a-ha-tí-kà qí-bi-ma,Thus says <gap>: Speak to your sister:
493,10 ma-na KÙ.BABBAR a-na um-mì-a di-in-ma šé-bi-lam,Give 10 minas of silver to my mother and send it to me.
494,šu-ma um-mì-a TÚG.HI.A lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If my mother does not send the textiles to me, I will write to the City."
495,a-na ru-ba-im šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that king, he will embezzle the tablet."
496,1 GÍN AN.NA a-na da-a-a-nu-um di-in-ma šé-bi-lam,Give 1 shekel of tin to the judge and send it to me.
497,a-hu-a a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"My brother was overwhelmed by his debts, and he fled."
498,1/3 ma-na KÙ.GI i-na kà-ni-iš a-na A-šur-na-da áš-qúl,I paid one-third of a mina of gold to Ashur-nada in Kanesh.
499,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma ši-ip-ri-ni ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and our messenger will take the deduction-taxes."
500,1/3 ma-na TÚG.HI.A a-na DAM.GÀR di-in-ma šé-bi-lam,Give one-third of a mina of textiles to the merchant and send it to me.
501,5 GÍN TÚG.HI.A a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 5 shekels of textiles to our messenger and send it to me.
502,a-na A-šur-na-da qí-bi-ma um-ma a-bi-a-ma,Speak to Ashur-nada: thus says my father.
503,um-ma Pú-zur4-A-šur-ma a-na um-mì-a ú um-mì-a qí-bi-ma,Thus says Puzur-Ashur: Speak to my mother and my mother:
504,1/3 ma-na URUDU dam-qám i-na bu-ru-uš-ha-tum a-na da-a-a-nu-um áš-qúl,I paid one-third of a mina of fine copper to the judge in Burushhattum.
505,iš-tù É DAM.GÀR a-na kà-ri-im a-li-ik-ma KÙ.GI ba-qí-ir,Go from the merchant's house to the colony and claim the gold.
506,um-ma wa-ar-di-ni-ma a-na a-bi-a qí-bi-ma,Thus says our slave: Speak to my father:
507,a-na ru-ba-im qí-bi-ma um-ma a-wi-lim-ma,Speak to the king: thus says the boss.
508,1 me-at KÙ.GI a-na a-wi-lim di-in-ma šé-bi-lam,Give 100 units of gold to the boss and send it to me.
509,um-ma kà-ru-um a-lim(ki)-ma a-na a-hu-a qí-bi-ma,Thus says the City colony: Speak to my brother:
510,1/3 ma-na ŠE a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give one-third of a mina of grain to Puzur-Ashur and send it to me.
511,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and <gap> will take the deduction-taxes."
512,10 ma-na ŠE a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 10 minas of grain to Puzur-Ashur and send it to me.
513,a-na A-šur-na-da šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that Ashur-nada, he will embezzle the tablet."
514,lu-qú-tum a-na kà-ri-im e-ru-ub-ma um-mì-a ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and my mother will take the deduction-taxes."
515,2 bi-lá-tim ṭup-pám i-na kà-ni-iš a-na um-mì-a áš-qúl,I paid 2 talents of the tablet to my mother in Kanesh.
516,um-ma wa-ar-di-ni-ma a-na ma-ṣa-ru ú a-wi-lim qí-bi-ma,Thus says our slave: Speak to the guards and the boss:
517,šu-ma A-šur-na-da ŠE lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If Ashur-nada does not send the grain to me, I will write to Hahhum."
518,um-ma a-wi-lim-ma a-na A-šur-na-da qí-bi-ma,Thus says the boss: Speak to Ashur-nada:
519,1 ma-na KÙ.BABBAR i-na bu-ru-uš-ha-tum a-na da-a-a-nu-um áš-qúl,I paid 1 mina of silver to the judge in Burushhattum.
520,a-na Pú-zur4-A-šur šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that Puzur-Ashur, he will embezzle the tablet."
521,ki-ma a-bi-a me-tù-ni a-hu-a <gap> i-ki-mu-ni,"When my father died, my brother deprived me of the <gap>."
522,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma Pú-zur4-A-šur ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and Puzur-Ashur will take the deduction-taxes."
523,a-šu-um KÙ.BABBAR ša a-wi-lim a-na <gap> u-šé-bi-lu a-na-kam áš-me,"Concerning the silver that boss sent to <gap>, I have heard about it here."
524,a-na ru-ba-im šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that king, he will embezzle the tin."
525,a-šu-um ṭup-pám ša Pú-zur4-A-šur a-na kà-ri-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that Puzur-Ashur sent to the colony, I have heard about it here."
526,ṭup-pám ša ru-ba-im a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of the king and send the sealed document.
527,2 bi-lá-tim AN.NA i-na ha-hi-im a-na da-a-a-nu-um áš-qúl,I paid 2 talents of tin to the judge in Hahhum.
528,um-ma da-a-a-nu-um-ma a-na a-ha-tí-kà qí-bi-ma,Thus says the judge: Speak to your sister:
529,iš-tù kà-ni-iš a-na wa-ah-šu-ša-na a-li-ik-ma kà-ni-kám ba-qí-ir,Go from Kanesh to Wahshushana and claim the sealed document.
530,ki-ma ši-ip-ri-ni me-tù-ni a-wi-lim ŠE i-ki-mu-ni,"When our messenger died, the boss deprived me of the grain."
531,a-šu-um KÙ.GI ša DAM.GÀR a-na <gap> u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that merchant sent to <gap>, I have heard about it here."
532,a-šu-um <gap> ša a-ha-tí-kà a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning <gap> that your sister sent to the palace, I have heard about it here."
533,ki-ma ši-ip-ri-ni me-tù-ni a-hu-a KÙ.GI i-ki-mu-ni,"When our messenger died, my brother deprived me of the gold."
534,um-ma wa-ar-di-ni-ma a-na DAM.GÀR ú a-wi-lim qí-bi-ma,Thus says our slave: Speak to the merchant and the boss:
535,a-wi-lúm a-wi-lam i-na wa-ah-šu-ša-na ú-kà-al,One man is holding the other in Wahshushana.
536,ki-ma DAM.GÀR me-tù-ni ma-ṣa-ru ṭup-pám i-ki-mu-ni,"When the merchant died, the guards deprived me of the tablet."
537,1/3 ma-na KÙ.BABBAR i-na ha-hi-im a-na Pú-zur4-A-šur áš-qúl,I paid one-third of a mina of silver to Puzur-Ashur in Hahhum.
538,a-na ma-ṣa-ru qí-bi-ma um-ma ru-ba-im-ma,Speak to the guards: thus says the king.
539,šu-ma Pú-zur4-A-šur URUDU dam-qám lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If Puzur-Ashur does not send the fine copper to me, I will write to Hahhum."
540,ki-ma ma-ṣa-ru me-tù-ni a-wi-lim KÙ.GI i-ki-mu-ni,"When the guards died, the boss deprived me of the gold."
541,a-na ši-ip-ri-ni šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that our messenger, he will embezzle the grain."
542,iš-tù kà-ni-iš a-na É DAM.GÀR a-li-ik-ma KÙ.GI ba-qí-ir,Go from Kanesh to the merchant's house and claim the gold.
543,um-ma kà-ru-um kà-ni-iš-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says the Kanesh colony: Speak to our messenger:
544,ki-ma ši-ip-ri-ni me-tù-ni A-šur-na-da <gap> i-ki-mu-ni,"When our messenger died, Ashur-nada deprived me of the <gap>."
545,um-ma A-šur-na-da-ma a-na ma-ṣa-ru ú ši-ip-ri-ni qí-bi-ma,Thus says Ashur-nada: Speak to the guards and our messenger:
546,1 me-at URUDU dam-qám a-na wa-ar-di-ni di-in-ma šé-bi-lam,Give 100 units of fine copper to our slave and send it to me.
547,1/3 ma-na ŠE i-na É DAM.GÀR a-na da-a-a-nu-um áš-qúl,I paid one-third of a mina of grain to the judge in the merchant's house.
548,a-šu-um KÙ.GI ša wa-ar-di-ni a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that our slave sent to Hahhum, I have heard about it here."
549,a-ma-kam ši-ip-ri-ni ša-e-il5-ma té-er-ta-kà li-li-kam,Question our messenger there and let your instruction come to me.
550,iš-tù wa-ah-šu-ša-na a-na kà-ni-iš a-li-ik-ma kà-ni-kám ba-qí-ir,Go from Wahshushana to Kanesh and claim the sealed document.
551,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al kà-ni-kám i-kà-al,"Do not trust that our slave, he will embezzle the sealed document."
552,um-ma wa-ar-di-ni-ma a-na ru-ba-im ú a-ha-tí-kà qí-bi-ma,Thus says our slave: Speak to the king and your sister:
553,šu-ma a-bi-a TÚG.HI.A lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If my father does not send the textiles to me, I will write to Wahshushana."
554,ṭup-pám ša a-hu-a a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of my brother and send the silver.
555,um-ma DAM.GÀR-ma a-na Pú-zur4-A-šur ú da-a-a-nu-um qí-bi-ma,Thus says the merchant: Speak to Puzur-Ashur and the judge:
556,um-ma kà-ru-um É DAM.GÀR-ma a-na <gap> qí-bi-ma,Thus says the merchant's house colony: Speak to <gap>:
557,a-na um-mì-a qí-bi-ma um-ma ru-ba-im-ma,Speak to my mother: thus says the king.
558,a-šu-um lu-qú-tám ša ru-ba-im a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that king sent to Kanesh, I have heard about it here."
559,ki-ma a-wi-lim me-tù-ni Pú-zur4-A-šur TÚG.HI.A i-ki-mu-ni,"When the boss died, Puzur-Ashur deprived me of the textiles."
560,ki-ma a-ha-tí-kà me-tù-ni ru-ba-im KÙ.GI i-ki-mu-ni,"When your sister died, the king deprived me of the gold."
561,a-na a-ha-tí-kà šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that your sister, he will embezzle the tablet."
562,lu-qú-tum a-na ha-hi-im e-ru-ub-ma a-hu-a ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and my brother will take the deduction-taxes."
563,a-na da-a-a-nu-um qí-bi-ma um-ma DAM.GÀR-ma,Speak to the judge: thus says the merchant.
564,1 ma-na AN.NA i-na É DAM.GÀR a-na A-šur-na-da áš-qúl,I paid 1 mina of tin to Ashur-nada in the merchant's house.
565,um-ma A-šur-na-da-ma a-na wa-ar-di-ni qí-bi-ma,Thus says Ashur-nada: Speak to our slave:
566,ṭup-pám ša wa-ar-di-ni a-mur-ma <gap> šé-bi-lam,Examine the tablet of our slave and send the <gap>.
567,šu-ma da-a-a-nu-um KÙ.GI lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If the judge does not send the gold to me, I will write to Hahhum."
568,um-ma um-mì-a-ma a-na ši-ip-ri-ni ú da-a-a-nu-um qí-bi-ma,Thus says my mother: Speak to our messenger and the judge:
569,ki-ma a-hu-a me-tù-ni ma-ṣa-ru AN.NA i-ki-mu-ni,"When my brother died, the guards deprived me of the tin."
570,ki-ma a-wi-lim me-tù-ni wa-ar-di-ni lu-qú-tám i-ki-mu-ni,"When the boss died, our slave deprived me of the merchandise."
571,ki-ma a-bi-a me-tù-ni a-hu-a kà-ni-kám i-ki-mu-ni,"When my father died, my brother deprived me of the sealed document."
572,a-na a-bi-a qí-bi-ma um-ma Pú-zur4-A-šur-ma,Speak to my father: thus says Puzur-Ashur.
573,1 GÍN TÚG.HI.A a-na wa-ar-di-ni di-in-ma šé-bi-lam,Give 1 shekel of textiles to our slave and send it to me.
574,2 bi-lá-tim KÙ.BABBAR a-na DAM.GÀR di-in-ma šé-bi-lam,Give 2 talents of silver to the merchant and send it to me.
575,a-na wa-ar-di-ni šu-a-tí lá ta-ta-kà-al KÙ.BABBAR i-kà-al,"Do not trust that our slave, he will embezzle the silver."
576,2 bi-lá-tim URUDU dam-qám a-na wa-ar-di-ni di-in-ma šé-bi-lam,Give 2 talents of fine copper to our slave and send it to me.
577,ki-ma Pú-zur4-A-šur me-tù-ni A-šur-na-da URUDU dam-qám i-ki-mu-ni,"When Puzur-Ashur died, Ashur-nada deprived me of the fine copper."
578,šu-ma Pú-zur4-A-šur AN.NA lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If Puzur-Ashur does not send the tin to me, I will write to the merchant's house."
579,a-na <gap> qí-bi-ma um-ma ši-ip-ri-ni-ma,Speak to <gap>: thus says our messenger.
580,šu-ma ru-ba-im lu-qú-tám lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If the king does not send the merchandise to me, I will write to the colony."
581,ki-ma a-wi-lim me-tù-ni a-hu-a kà-ni-kám i-ki-mu-ni,"When the boss died, my brother deprived me of the sealed document."
582,um-ma A-šur-na-da-ma a-na ma-ṣa-ru qí-bi-ma,Thus says Ashur-nada: Speak to the guards:
583,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma a-wi-lim ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and the boss will take the deduction-taxes."
584,a-šu-um ŠE ša Pú-zur4-A-šur a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that Puzur-Ashur sent to Burushhattum, I have heard about it here."
585,a-na Pú-zur4-A-šur šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that Puzur-Ashur, he will embezzle the gold."
586,a-na a-bi-a šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that my father, he will embezzle the tablet."
