oa,english
"a-ma-lá ší-ma-tí-šu-nu me-er-i-tí: NIN.DINGIR ù ma-ru-ú-a e-pu-š[u]","(there) my daughter, the ugbabtu-priestess, and my sons will act in accordance with the testamentary dispositions applying to them."
"a-na La-[ma-sà/si-tim <gap>] [KIŠIB <gap>] mi-<gap> [x me-eh-r][i x x] ša [ta]-áš-pu-ri-ni","To La seal of <gap> <gap> the duplicates that you sent <gap>"
"13 GÍN KÙ.B. ṣa-ru-pá-am i-ṣé-er Ili5-ba-ni DUMU A-šur-UTU Lá-ma-sà-tum: tí-šu","13 shekels of refined silver Ilī-bāni, son of Aššur-šamšī, owes to Lamassutum."
"iš-tù: ha-muš-tim ša I-tur4-DINGIR (erasure) ITI.1.KAM ša sà-ra-tim li-mu-um ša qá-té A-šùr-i-mi-tí ma-lá-hi-im a-na 5 ha-am-ša-tim [i-š]a-qal","Reckoned from the week-eponymy of Itūr-ilī, month II, year-eponymy of the successor of Aššur-imttī, the boatman, within 5 weeks he will pay."
"[šu-m]a lá iš-qúl [a-n]a 1 ma-na-im 1½ GÍN.TA <<i-na>> i-na ITI.1.KAM-im ṣí-ib-tám ú-ṣa-áb","If he does not pay he will add per mina, per month 1½ shekel as interest."
"IGI A-šur-be-el-a-wa-tim DUMU I-dí-Da-gán IGI A-šùr-e-mu-qí DUMU Ku-zi-zi-a","In the presence of Aššur-bēl-awātim, son of Iddin-Dagan, of Aššur-emūqī, son of Kuziziya."
"15 GÍN KÙ.B. li-tí SIG5 i-ṣé-er Wa-al-hi-iš-na Pé-ru-wa ù Tù-wa-tù-ú-i a-ší-tí-šu Lá-ma-sà-tum tí-šu","15 shekels of refined līti-silver Walhišna, Peruwa and Tuwatuwi, his wife, owe to Lamassutum."
"iš-tù ha-mu-uš-tim ša I-na-a a-na ša Pá-ar-kà i-ša-qú-lu","Reckoned from the week of Innāya not later than the festival of Parka they will pay."
"šu-ma lá iš-qú-lu 1½ GÍN.TA ṣí-ib-tám","If they do not pay they will add interest at a rate of 1½ shekel."
"ú-ṣú-bu ITI.KAM a-lá-na-tim li-mu-um A-šur-i-mi-tí","Month XII, eponymy of Aššur-imittī."
"KÙ.B. i-qá-qá-<ad> šál-mì-šu-nu ra-ki-is","They are jointly liable for the silver."
"šu-ma <i-na> u4-me-šu-nu lá iš-ta-aq-lu Tù-wa-tù-wi ú-šé-ṣa (erasure)","Should they not pay when their term is due, then I will take away Tuwatuwi."
"IGI Ša-ar-ni-ga-a-šu IGI E-na-A-šur","In the presence of Šarnigāšu, and of Ennam-Aššur."
"KIŠIB Ša-ar-ni-ga-a-šu KIŠIB E-na-A-šur DU[MU x x] KIŠIB Wa-al-hi-[iš-na] KIŠIB Pé-ru-wa KIŠ[IB Tù-wa-tù-ú-i]","Seal of Šarnigāšu, seal of Ennam-Aššur, son of, seal of Walhišna, seal of Peruwa, se."
"šu-ma KÙ.B. i-ša-x <gap>","If pay the silver <gap>"
"[i-ṣé-er] be-ú-lá-tí-šu [pá-ni-t]im [ša] Lá-ma-ša [a]-na Am-ri-a i-dí-nu","his working capital, Lamaša had given to Amriya,"
"a-ha-ma 10 GÍN KÙ.B La-ma-sú-tum a-na Am-ri-a a-be-a-lim ta-dí-in","separately Lamassutum gave 10 shekels of silver to Amriya to dispose of."
"Am-ri-a iš-tí KÙ.B uk-ta-al","Amriya is being held with the silver."
"[šu]-ma a-e-ma [ú]-da-pí-ir [x x GÍ]N ú-ma-lá","If he goes away somewhere else he shall compensate shekels."
"[IGI x x ]-A-šùr [IGI x x ]-IM","In the presence of -Aššur, of -Adad."
"KIŠIB A-šur-dan DUMU I-ku-pí-a KIŠIB I-dí-A-bi4-im DUMU I-tur4-DINGIR KIŠIB A-šur-ták-lá-ku DUMU Hu-li-a","Seal of Aššur-dān, son of Ikūn-pīya, seal of Iddin-abum, son of Itūr-ilī, seal of Aššur-taklāku, son of Huliya."
"30 <ma-na> SÍG.HI.A na-ar-ba-tim <gap>-tim ša-kà-ki-iš i-ṣé-er A-šur-ták-lá-ku DUMU Hu-li-a [L]á-ma-sá-tum tí-šu","30 <minas> of soft, <gap> wool for making the weft Aššur-taklāku, son of Huliya, owes to Lamassutum."
"iš-tù Ha-qá a-na ITU.2.KAM ù-šé-ba-lam","He will send it from Haqa within two months."
"šu-ma lá ú-uš-té-bi4-lam-ma <a>-[É] A-lim i-ta-lá-ak i-na tù-wa-ri-šu 1 GÚ SÍG.HI.A na-ar-b[a]-tim ša-kà-ki-iš i-ša-qal","If he has not sent it and has departed for the City Hall he will weigh out on his return one talent of soft wool for making the weft."
"ITU.1.KAM ku-zal-lu li-mu-um A-šur-na-da DUMU Puzur4-A-na","Month XI, eponymy of Aššur-nādā, son of Puzur-Anna"
"[KI]ŠIB A-šur-UTU DUMU Šu-Ištar [KIŠI]B A-šur-lá-ma-sí [KIŠIB Da]n-A-šur DUMU Ku-sú-sà-[ri-im","Seal of Aššur-šamšī, son of Šu-Ištar, seal of Aššur-lamassī, seal of Dān-Aššur, son of Kususārum."
"<gap> ma-na KÙ ṣa-ru-pá-am i-ṣé-er A-šur-lá-ma-sí L[a m]a-sà-[tu]m tí-šu","mina of refined silver Aššur-lamassī owes to Lamassutum."
"iš-tù ha-mu-uš-tim [š]a Kur-ub-Ištar ù Ì-lí-iš-ta-kál a-na [4] ITI.KAM i-ša-qal","From the week of Kurub-Ištar and Iliš-tikal he will pay in 4 months."
"šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb","If he does not pay, he will add interest in accordance with the regulation of the colony."
"KIŠIB Du-šu-ba KIŠIB Šu-ni-il5-ga KIŠIB Ší-li-ú-ma-an KIŠIB Tal-ha-ma KIŠIB Šar-bu-nu-a KIŠIB Kà-áš-ší KIŠIB Gà-dí-na:","Seal of Dušuba, seal of Šunilga, seal of Šiliuman, seal of Talhama, seal of Šarbunuwa, seal of Kašši, seal of Gadina."
"am-tám Ku-zi-zi Du-šu-ba ú Šu-ni-il5-ga a-ší-mi-im i-dí-nu-ma 15 GÍN KÙ.B. Lá-ma-sú-tum ta-áš-qú-ul-ma am-tám Ku-zi-zi ta-áš-am","The slave-girl Kuzizi Dušuba and Šunilga sold her and 15 shekels of silver Lamassutum paid and bought the slave-girl Kuzizi."
"šu-ma um-ma Du-šu-ba-ma ù Šu-ni-il5-ga-ma a-ma-at-ni ni-ta-ru ½ ma-na KÙ.B. i-ša-qú-lu-ma am-tám i-ta-ru","If Dušuba and Šunilga say: ""We want to take our slave-girl along"", they will pay ½ mina of silver and then they can take the slave-girl along."
"šu-ma ma-ma-an i-tù-ra-am um-ma šu-ut-ma am-tum i-a-tum Du-šu-ba ú Šu-ni-il5-ga ú É-sú-nu","If anybody vindicates her, saying: ""The slave-girl is mine!"" then I have a claim on Dušuba and Šunilga and their house."
"a-da-ga-al: šu-ma KÙ.B.-pì lá i-ta-ad-nu-nim am-tum Ku-zi-zi am-tí ù a-ší-mì-im a-da-ší","Should they not give me my silver then the slave-girl Kuzizi is my slave-girl and I can sell her."
"am-tám: Ku-uk-ra ša UTU-a-bi DUMU Zu-za-nim [ iš-tí ṣú-ha-ri-im ša Ha-da-i-kur a-lá-hi-nim Ša-lim-A-šur DUMU Ip-hu-ri-im","The slave-girl Kukra, which Šamaš-abī, son of Zuzānum, <had acquired?> from the boy of Hada'ikur, the alahhinnum, Šallim-Aššur, son of Iphurum, has bought."
"iš-a-am ha-ma-am ma-ah-ri-ni i[b-t]ù-uq","He cut off the stalk in our presence."
"[a-na a]-wa-[tim] [a-ni]-a-tim kà-ru-um Dur4-hu-m[i-it] i-dí-ni-a-tí-ma IGI GÍR ša A-šur <<ša A-šur>> ší-bu-tí-ni ni-dí-in","For these words the Durhumit colony gave us and before Aššur's dagger we gave our testimony."
"IGI Lá-ba-lá-da DUMU I-dí-Sú-en6 IGI Na-áb-Sú-en6 DUMU Šu-Be-lim IGI I-dí-Ištar DUMU I-dí-a-bi4-im IGI Puzur4-Ištar DUMU Dan-A-šur","In the presence of Labān-nādā, son of Iddin-Suen, of Nabi-Suen, son of Šu-Bēlum, of Iddin-Ištar, son of Iddin-abum, of Puzur-Ištar, son of Dān-Aššur."
"KIŠIB Lá-ba-na-da DUMU [I-d]í-Sú-in KIŠIB Na-áb-Sú-en6 DUMU Šu-Be-lim","Seal of Labān-nādā, son of Iddin-Suen, seal of Nabi-Suen, son of Šu-Bēlum."
"KIŠIB I-di-Ištar DUMU I-di-A-bi4-im KIŠIB Puzur4-Ištar DUMU Dan-A-šùr","seal of Iddin-Ištar, son of Iddin-abum seal of Puzur-Ištar, son of Dān-Aššur."
"a-na a-wa-tim a-ni-a-tim kà-ru-um Dur4-hu-mi-it i-dí-ni-a-tí-ma IGI GÍR ša A-šùr ší-bu-tí-ni: ni-dí-in","For these words the Durhumit colony made us available and before Aššur's dagger we gave our testimony."
"ṭup-pu-um a-šu-mì Ku-uk-ra ša [DUMU Zu]-za-nim","A record concerning Kukra of the son of Zuzānum."
"20 ma-na URUDU SIG5 i-ší-im Ku-uk-ra i-ri-ih-ma i-ṣé-er UTU-a-bi Lá-ma-sà-tum tí-šu","20 minas of refined copper that remained from the price for Kukra are owed by Šamaš-abī to Lamassutum."
"iš-tù ha-mu-uš-tim ša E-na-ah-DINGIR a-na 10 ha-am-ša-tim i-ša-qal","From the week eponymy of Enah-ilī within 10 weeks he will pay."
"šu-ma lá iš-qú-ul Ku-uk-ra am-tum am-tí:","If he does not pay the slave-girl Kukra is my slave-girl."
"ITU.KAM té-i-na-tim li-mu-um Šu-Sú-in DUMU Ba-bi4-lim","Month X, year eponymy of Šu-Suen, son of Babbilum."
"IGI A-šur-ni-im-ri IGI Be-lá-nim IGI A-mur-A-šur","Witnessed by Aššur-nimrī, by Bēlānum, by Amur-Aššur."
"1⅔ GÍN ša da-at 5 ni-a-tí ⅓ GÍN a-na NINDA i-na Ta-wi-ni-a","1⅔ shekel for the road-tax of the five of us, ⅓ shekel for bread in Tawiniya."
"2 ma-na URUDU i-na pá-ṭí ša Tí-iš-mur-na ik-lu-ú-ni-ma","I gave 2 minas of copper in the territory of Tišmurna where they held (us) back."
"a-dí-in ⅓ GÍN 15 ŠE KÙ.B. ša 1 UDU ša a-na mu-ṣí: ni-il5-qé-ú a-na Lá-dí-a áš-qúl 1 ma-na URUDU SIG5 10 GÍN AN.NA a-qá-tí šú-ha-ri-ša","5/12 shekel of silver for one sheep that we acquired for the mūṣiu-official I paid to Ladiya; 1 mina of refined silver (and) 10 shekels of tin into the hands of her servant."
"1 GÍN KÙ.B. sà-he-er-tám a-dí-šu-nu-tí","For a value of 1 shekel of silver I gave them sundries."
"1 GÍN KÙ.B. a-na Ì.GIŠ ⅓ GÍN ú-ku-ul-tí ANŠE","1 shekel of silver for oil ⅓ shekel fodder for the donkey."
"1 ku-ta-num 2 šu-re-en6 ša Šu-Ku-bi-im a-na ⅔ ma-na KÙ.B. i-Bu-ru-uš-ha-tim ta-ad-nu","1 kutānu-textile (and) 2 dark textiles belonging to Šu-Kūbum have been sold in Burušhattum for ⅔ mina of silver."
"ŠÀ.BA ša 25 ma-na URUDU KÙ-áp-šu a-šu-mì Šu-Ku-bi4-im ú-ṣa-hi-ru ša 15 ma-na URUDU a-šu-mi-a ú-ṣa-hi-ru","From it they deducted the silver equivalent of 25 minas of copper for Šu-Kūbum's account and that of 15 minas of copper for my account."
"ší-tí KÙ.B.-pí-šu 14 GÍN","The rest of his silver is 14 shekels."
"ŠÀ.BA 10 GÍN KÙ.B. i-na Kà-ni-iš Ša-lim-A-šùr i-dí-[in] 4 GÍN KÙ.B. a-na-ku a-na-pá-al","Thereof: 10 shekels of silver Šalim-ahum gave in Kanesh (and) I myself will pay 4 shekels of silver."
"ŠÀ.BA ½ ma-na LÁ 2 GÍN [KÙ.B.] té-pu-ul-šum 2 GÍN KÙ i-Tù-me-li-a a-dí-šum","Of this amount you paid him 28 shekels of silver, 2 shekels of silver I gave him in Tumeliya."
"1⅓ GÍN KÙ.B. ú-kúl-tí ANŠE ù da-a-sú ša a-dí Wa-ah-šu-ša-na","1⅓ shekel of silver fodder for the donkey and road-tax for it until Wahšušana,"
"3 GÍN KÙ.B. ša 30 TÚG.HI.A iš-tù Ú-lá-ma a-dí Bu-ru-uš-ha-tim ù É wa-áb-ri","3 shekels of silver (expenses) for 30 textiles (transported) from Ulama until Burušhattum and (for) the cost of the inn."
"4 GÚ 58 ma-na a-wi-it: Šu-Ištar 24 ma-na 10 GÍN qá-dum ú-ku-ul-tim ú-ša-qi-il5","4 talents 58 minas (of tin) the declared value of Šu-Ištar('s shipment), 24 minas 10 shekels (of tin), including the fodder, I paid."
"6½ GÍN iš-tù a-al Kà-ni-ší-i a-dí Tí-mi-il5-ki-a","6½ shekels (of tin) from the Town of the Kaneshites until Timilkiya."
"2 GÍN KÙ.B. ù 2 GÍN AN.NA ig-re ANŠE iš-tù Tí-mì-il5-ki-a: a-dí Hu-ra-ma áš-qúl","2 shekels of silver and 2 shekels of tin the hire of a donkey from Timilkiya until Hurama I paid."
"4½ GÍN KÙ.B. ù 4½ GÍN AN.NA ig-re ANŠE ù sá-ri-dí-im iš-tù Hu-ra-ma: a-dí Kà-ni-iš: áš-qúl","4½ shekels of silver and 4½ shekels of tin the hire of a donkey and a donkey-driver from Hurama until Kanesh I paid."
"mi-ma: a-nim a-šu-mì: Šu-Ištar ú-ša-qí-il5","All this I paid for the sake of Šu-Ištar."
"8 GÚ 16½ GÍN AN.NA a-wi-it I-dí-Sú-in","8 talents 16½ shekels of tin the declared value of Iddin-Suen('s merchandise)."
"ŠÀ.BA 41 ma-na 15 GÍN AN.NA qá-dì ša ú-ku-ul-tim","Thereof: 41 minas 15 shekels of tin, including expenses for fodder."
"2 GÍN KÙ.B. ù 2 GÍN AN.NA iš-tù Ti-mi-il5-ki-a ANŠE i-mi-hi-iṣ-ma","2 shekels of silver and 2 shekels of tin I paid from Timilkiya because a donkey suffered a stroke."
"áš-qúl 6 GÍN AN.NA iš-tù Hu-ra-ma a-dí Kà-ni-iš","6 shekels of tin I paid from Hurama until Kanesh."
"áš-qúl 4 LÁ ¼ GÍN KÙ.B. a-na tí-ib-nim i-na Kà-ni-eš áš-qúl","3¾ shekels of silver I paid in Kanesh for straw."
"mi-ma a-nim a-šu-mì I-dí-Sú-in [á]š-qúl ŠÀ.BA 34½ ma-na AN.NA a-qá-tí-a i-dí-nu-nim 3½ ma-na 7 GÍN.TA bi-il5-tám ik-šu-dam","All this I paid in the name of Iddin-Suen, to be deducted from 34½ minas of tin they had given me for expenses, which amounted to 3 minas 47 shekels per talent."
"5 ma-na hu-ša-e i-na kà-ṣí-im a-na ta-ší-a-tim","5 minas of scrap (copper) in the steppe for transport."
"iš-tù Qá-ṭá-ra a-dí Ha-mi-za-nim ⅓ ma-na AN.NA a-ta-ší-a-tim","From Qaṭṭarā until Hamizānum ⅓ mina of tin for transport."
"ANŠE uš-pá-il5-ma 1 ma-na 15 GÍN AN.NA a-pu-ul","I replaced a donkey and had to balance 1 mina and 15 shekels of tin."
"iš-tù Bu-ra-li-im a-dí Bi-ir-tù-im 17 GÍN AN.NA a-na ta-ší-a-tim","From Burallum until Birtu'um 17 shekels of tin for transport."
"7 GÍN AN.NA iš-tù a-al Kà-ni-ší-e a-dí Ti-mi-il5-ki-a a-na ig-re e-re-qí-im","7 shekels of tin from the Town of the Kaneshites until Timilkiya as hire for a wagon."
"iš-tù Ti-mì-il-ki-a a-dí Hu-ur-ma a-na ig-re ANŠE 2 GÍN KÙ 2 GÍN AN.NA áš-qúl","From Timilkiya until Hur(a)ma as hire of a donkey I paid 2 shekels of silver (and) 2 shekels of tin."
"iš-tù Hu-ra-<ma> a-dí Lu-hu-sà-dí-a 3 GÍN KÙ 3 GÍN AN.NA a-na ig-re ANŠE","From Hura<ma> until Luhusaddiya 3 shekels of silver (and) 3 shekels of tin as hire of a donkey."
"iš-tù Wa-ah-šu-ša-na a-dí Kà-né-eš da-tum 1⅓ GÍN KÙ.B. ik-šu-dí","From Wahšušana until Kaneš the road-tax amounted for me to 1⅓ shekel of silver."
"1 GÍN a-na kà-ší-im i-na Kà-né-eš","1 shekel (of silver) for the official."
"áb-ri-ma 10 GÍN KÙ.B. a-ku-ul 1 GÍN KÙ.B.","(Since) I passed some time in Kanesh, I consumed 10 shekels of silver."
"a-na É wa-áb-ri i-na Hu-ru-ma 1 GÍN KÙ.B. i-na Ti-mi-il5-ki-a a-na É wa-áb-ri","1 shekel of silver for the inn in Hurama; 1 shekel of silver in Timilkiya for the inn;"
"2 GÍN KÙ.B. i-na Ha-hi-im a-na É wa-áb-ri 1 GÍN KÙ.B. i-na Bu-ru-lim a-na É wa-áb-ri","2 shekels of silver in Hahhum for the inn; 1 shekel of silver in Burullum for the inn;"
"10 GÍN KÙ.B. iš-tù Kà-né-eš a-dí a-lim a-na ú-ku-ul-tí-a ag-mu-ur","10 shekels of silver from Kanesh until the City I spent on my food."
"1 GÍN KÙ.B. i-na Hu-ra-ma a-na É ub-ri a-dí-in","One shekel of silver in Hurama I gave to the inn;"
"12 GÍN pá-zu-ur-tí TÚG.HI.A i-na Lu-hu-sà-dí-a a-na I-ku-pí-a DUMU Da-a-a a-dí-in","12 shekels (the cost) of smuggling textiles I gave in Luhuzaddiya to Ikuppiya, son of Dāya;"
"3 GÍN AN.NA [a-ANŠ]E*.HI.A wa-bar-šu * <gap> [a/i-na x x x] a-dí-in [x GÍN AN.NA] [i]-ti-tù-ri-im","3 shekels of tin for the donkeys (and) his lodging <gap> I gave to/in <gap>; x shekels of tin at the bridge;"
"[x GÍN AN].NA a-na É [wa]-áb-ri i-na Ša-mu-ha a-dí-in 1½ GÍN KÙ.B. a-na ig-ri ša bi4-il5-tim a-dí Ša-mu-ha a-dí-in","x shekels of tin I gave to the inn in Šamuha; I gave 1½ shekel of silver as wages of a porter until Šamuha;"
"3 GÍN AN.NA i-na Ha-tí-kà-it-ra* a-dí-in 1½ GÍN AN.NA i-na Ku-tí-a a-ha-za-nim a-dí-in","3 shekels of tin I gave in Hatika'itra; 1½ shekel of tin I gave in Kutiya to the mayor;"
"12 GÍN AN.NA i-na Kà-ra-ah-na a-na GAL si-kí-tim a-dí-in","12 shekels of tin I gave in Karahna to the commander."
"iš-tù Kà-ra-ah-na a-dí Ku-bu-ur-na-<at> 3 GÍN KÙ.B. ša bi4-lá-tim ik-šu-ud 6 GÍN KÙ.B. ni-is-ha-tim a-ZU-LI*-<gap> a-dí-in: 2 GÍN AN.NA a-na É [ub-ri] a dí-in","From Karahna until Kuburnat the costs of porters amounted to 3 shekels of silver; 6 shekels of silver import-tax to/for <gap> I gave; 2 shekels of tin I paid for the inn."
"1½ GÍN AN.NA i-na a-al Bu-uṭ-[n]a-[tim a-É wa-áb-ri a-dí-in 6 GÍN AN.NA i-na pá-ṭí ša Ha-na-ak-na-ak a-šar *ni-IS-GA-ru a-na É ub-ri a-dí-in","1½ shekel of tin in the town of Buṭnātum I gave to the inn; 6 shekels of tin in the area of Hanaknak, where we <gap>, I gave to the inn;"
"3 GÍN AN.NA i-na Ha-ni-ga wa-ṣa-i-ni a-na É ub-ri a-dí-in","3 shekels of tin, when we left Hanigga, I gave to the inn."
"3 GÍN AN.NA i-na Wa-zi-da a-na É ub-ri a-dí-in","3 shekels of tin I gave in Wazida to the inn."
"6 GÍN AN.NA a-na ni-is-ha-tim ša TÚG.HI.A i-na Ha-na-ak-na-ak a-dí-in 14 GÍN KÙ.BABBAR ší-im < > áš-qúl","6 shekels of tin I gave in Hanaknak as import-tax on the textiles 14 shekels of silver as price < of <gap> > I paid."
"3 GÍN AN.NA iš-tù Ha-na-ak-na-ak i-<wa>-sà-i-a a-na É ub-ri-[ni] a-dí hu-lu-qá-e ni-iš-e-ú a-dí-in","3 shekels of tin, when I left Hanaknak I gave to our inn, while we searched for goods lost;"
"3 GÍN AN.<NA> i-na a-al Ku-pí-il5-ša-an a-dí-in 1½ GÍN AN.NA i-na Ta-pá-ga-áš a-kà-ší-im a-dí-in","3 shekels of tin I gave in the town of Kupilšan; 1½ shekel of tin I gave in Tapagaš to the chief;"
"hi-dam AN.NA a-na a-lá-hi-nim ša Ta-e-dí-zi-na a-dí-in ½ ma-na URUDU a-né-bar-tim i-ša Dur4-hu-mì-it a-dí-in","A hiddu-bead of tin I gave to the steward of Ta'edizina; ½ mina of copper I gave for the crossing in the area of Durhumit;"
"3 ma-na URUDU SIG5 ni-is-ha-tim i-na Dur4-hu-mi-it a-kà-ší-im a-dí-in","3 minas of refined copper, import-tax, in Durhumit I gave to the chief;"
"5 ma-na URUDU SIG5 i-nu-mì a-na Wa-ah-šu-ša-na [ur]-ki TÚG.HI.A i-li-ku a-qá-tí Ì-lí-úṣ-ra-ni a-dí-in","5 minas of refined copper I put at the disposal of Ilī-uṣranni, when he went to Wahšušana in pursuit of my textiles;"
"10 ma-na URUDU ší-kam lu a-É ub-ri lu gám-ri i-na Wa-ah-šu-ša-na","10 minas of šikku-copper for the inn and expenses in Wahšušana."
"[x]* [ma]-na ší-kam ig-ri ša bi4-il5-tim [a]-dí Ša-lá-du-a-ar a-dí-in 20 ma-na ší-kam i-na Ša-lá-du-a-ar ú-ša-qí-il5","I gave minas of šikku-copper as wage of a porter until Šaladuwar, 20 minas of šikku-copper I paid in Šaladuwar,"
"3 ma-na a-É ub-ri a-dí-in 10 ma-na URUDU a-na ša bi4-lá-tim a-dí-in 7 ma-na URUDU a-Tár-ku-a a-dí-in","3 minas I gave to the inn, 10 minas of copper I gave to porters, 7 minas of copper I gave to Tarkua,"
"3 ma-na URUDU a-dí Bu-ru-uš-ha-tim ag-mur 3 GÍN KÙ.B. i-na Bu-ru-uš-ha-tim a-na kà-ri-im ša-du-a-tám a-dí-i 3 ma-na [URUDU] a-gám-ri-im a-dí Uš-bu-ga-[ti]m*","3 minas of copper I spent until Burušhattum, 3 shekels of silver in Burušhattum I deposited for the kārum as šaddu'utu-tax, 3 minas of copper for expenses until Ušbugattum,"
"3 GÍN KÙ.B. a-É ub-ri [i-na] Bu-ru-uš-ha-tim a-dí-in 1½ ma-na URUDU iš-tù Pu-<ru>-uš-[ha-tim a-dí Ša-lá-du-a-ar ik-šu-dí","3 shekels of silver I paid to the inn in Burušhattum, 1½ mina of copper from Burušhattum until Šaladuwar I incurred (as expenses),"
"10 ma-na URUDU a-dí i-Ša-lá-du-a-ar úš-a-ni ga-me-er","10 minas of copper were spent until I left Šaladuwar,"
"<gap> ma-na URUDU i-na-áb-ri-tim [i-n]a Wa-ah-šu-ša-na lu É ub-ri ga-me-er: 1½ ma-na URUDU a-dí Tuh2(TUR4)*-pí-a ik-šu-dí 3 ma-na a-dí Dur4-hu-mi-it ik-šu-dí","minas of copper were spent when (the donkeys) were stabled in Wahšušana and at the inn, 1½ mina of copper I incurred until Tuhpiya, 3 minas of copper I incurred until Durhumit."
"iš-tù Dur5-hu-mi-it a-dí Kà-ni-iš 5 ma-na SIG5 ik-šu-da-ni 3 ma-na URUDU [a-d]í Wa-ah-šu-ša-na ag-mur [š]a 4 GÍN KÙ.B. sà-he-er-tám [al-q]é-ma ga-me-er","from Durhumit until Kanesh I incurred expenses of 5 minas of refined (copper), I spent 3 minas of copper until Wahšušana, I acquired and spent small wares for a value of 4 shekels of silver."
"1½ GÍN I-di-a-bu-um 1½ GÍN Hu-bu-zi 1½ GÍN Šu-Be-lúm 1 GÍN Sú-sà-a 1½ GÍN IŠKUR-ELLAT","1 shekel Iddin-abum 1½ shekel Hubuzi 1½ shekel Šu-Bēlum 1 shekel Susāya 1½ shekel Adad-ellat"
"2 GÍN En-na-ni-a 2 GÍN A-šur-UTU 1 GÍN En-um-A-šur DUMU A-šur-UTU","2 shekels Ennāniya 2 shekels Aššur-šamšī 1 shekel Ennam-Aššur, son of Aššur-šamšī"
"2 GÍN Puzur4-IŠKUR 1 GÍN Puzur4-Ištar 1 GÍN Ú-ṣú-ur-ša-A-šur 1 GÍN Ma-nu-ki-A-šur ⅔ GÍN A-mur-ZU 1 GÍN Šu-A-num","2 shekels Puzur-Adad 1 shekel Puzur-Ištar 1 shekel Uṣur-ša-Aššur 1 shekel Mannu-kī-Aššur ⅔ shekel Amur-Suen 1 shekel Šu-Anum"
"1½ GÍN Ku-uš-mu-um 1 GÍN IŠKUR-ba-ni 1 GÍN Šál-ma-A-šur 1 GÍN En-nam-A-šur DUMU Sú-in-na-da 1 GÍN DÙG-A-šur 1 GÍN DUMU Sú-e-ta-ta","1½ shekel Kušmum 1 shekel Adad-bāni 1 shekel Šallim-Aššur 1 shekel Ennam-Aššur, son of Suen-nādā 1 shekel Ṭāb-Aššur 1 shekel the son of Suettata."
"1 ki-ru-um A-hu-ni 1 ki-ru-um ù zi-KI-KU-um Šu-Anim 1 ki-ru-um Šu-sà-a","1 jar Ahuni 1 jar and a <gap> Šu-Anum, 1 jar Šusāya."
"1 ki-ru-um I-dí-a-bi-im 1 ki-ru-um Ṣa-he-er-i-lí 1 ki-ru-um ša a-ma-at Ah-ša-lim 1 ki-ru-um En-na-nim","1 jar Iddin-abum, 1 jar Ṣaher-ilī, 1 jar of the maid of Ah-šalim, 1 jar Ennānum,"
"1 ki-ru-um DINGIR-áš-ra-ni 1 ki-ru-um Ì-lí-ba-ni 1 ki-ru-um A-mur-UTU 1 ki-ru-um Kà-sà-a","1 jar Ilī-ašranni 1 jar Ilī-bāni, 1 jar Amur-Šamaš, 1 jar Kasāya,"
"1 ki-ru-um LUGAL-UTU* 1 ki-ru-um Zu-x* 1 ki-ru-um A-hu-wa-qar 1 ki-ru-um Pi-lá-ah-Ištar","1 jar Šarrum-Šamaš?, 1 jar Zu <gap> 1 jar Ahu-waqar, 1 jar Pilah-Ištar"
"1 me-at NINDA A-mur-Ištar 1 me-at NINDA A-šur-mi-tì 1 me-at NINDA Tù-pì-zi 1 me-at NINDA Šu-Ku-bu-um 50 NINDA A-lá-hu-um","100 breads Amur-Ištar 100 breads Aššur-imittī 100 breads Tupizi 100 breads Šu-Kūbum 50 breads Ali-ahum"
"50 NINDA En-na-be-lí 1 me-at NINDA A-šur-i-mì-tí [ DUMU A-ta-a 1 me-at NINDA Puzur4-A-šùr 50 NINDA Šál-ma-A-šur","50 breads Ennam-bēlī 100 breads Aššur-imittī, son of Ataya 100 breads Puzur-Aššur 50 breads Šallim-Aššur"
"50 NINDA Im-dí-DINGIR 50 NINDA DUMU Ha-lá-bi4-im 50 NINDA Bu-zu-zu-um 50 NINDA Lá-qé-ep","50 breads Imdī-ilum 50 breads the son of Hali-abum 50 breads Buzuzum 50 breads La-qēp"
"1 me-at NINDA Kur-ub-Ištar 1 me-at NINDA A-šur-ma-lik 50 NINDA A-šùr-ṣú-lu-lí 50 NINDA A-ni-num","100 breads Kurub-Ištar 100 breads Aššur-mālik 50 breads Aššur-ṣulūlī 50 breads Anīnum"
"50 NINDA A-šur-SIPAD 1 me-at NINDA A-šur-na-da 50 NINDA En-nam-A-šur DUMU a-hi-a","50 breads Aššur-rē'ī 100 breads Aššur-nādā 50 breads Ennam-Aššur, son of my brother"
"1 ma-na 2 GÍN AN.NA Šu-Ku-bu-um ih-bu-lam","For 1 mina 2 shekels of tin Šu-Kūbum became indebted to me."
"ta-ah-si-is-tum [a]-ni-tum wa[(AH)-ar-ki-at","This memo is a later one."
"<gap> *20+x <gap> TÚG šu-ra-am a-na 11 GÍN a-na É kà-ri-im a-dí-i","<gap> one dark colored textile I deposited for 11 shekels at the colonial office."
